기관명,기관명(영문),소속기관,기관 구분,학술지한글명,학술지외국어명,P-ISSN,E-ISSN,대분류,중분류,사용언어,등재구분,창간년도,발행간기
한국민사집행법학회,The Association of Korean Civil Judgment Enforcement Law,,학회,민사집행법연구,Journal Of Civil Judgment Enforcement Law,1738-6071,,사회과학,법학,한국어,등재,2005,연1회
민주주의법학연구회,Democratic Legal Studies Association(Delsa),,학회,민주법학,Democratic Legal Studies,1226-6612,2765-5911,사회과학,법학,한국어,등재,198904,연3회
범죄수사연구원,Criminal Investigation Institute at Korean National Police University,경찰대학,대학부설연구소,범죄수사학연구,,2466-1236,,사회과학,법학,한국어,등재,2015,연3회
한국법경제학회,Korean Law And Economics Association,,학회,법경제학연구,Korean Journal of Law and Economics,1738-3951,2734-0139,사회과학,법학,한국어,등재,2004,연3회
법학연구소,"The Institute for Legal Studies, Sogang University",서강대학교,대학부설연구소,법과 기업 연구,,2234-1951,2713-6116,사회과학,법학,한국어,등재,201107,연3회
법과사회이론학회,Korean Law & Society Association,,학회,법과사회,Korean Journal of Law & Society,1227-0954,,사회과학,법학,한국어,등재,1989,연3회
법과정책연구원,The Institute of Law & Policy Jeju National University,제주대학교,대학부설연구소,법과정책,Law & Policy Review,1738-2467,,사회과학,법학,한국어,등재,199510,연3회
한국법정책학회,Korean Association Of Law And Politics ,,학회,법과정책연구,Journal of Law and Politics research,1598-5210,,사회과학,법학,한국어,등재,2001,연4회
한국법사학회,The Korean Society Of Legal History,,학회,법사학연구,,1226-2773,,사회과학,법학,한국어,등재,1974,연2회
사단법인 한국법이론실무학회,The Korea Society for Legal Theory and Practice Inc.,,학회,법이론실무연구,Legal Theory & Practice Review,2288-1840,,사회과학,법학,한국어,등재,2013,연4회
법제처,Ministry of Government Legislation,,일반기관,법제,,1739-9904,2713-6779,사회과학,법학,한국어,등재,1958,연4회
한국법제연구원,Korea Legislation Research Institute,,일반기관,법제연구,JOURNAL OF LEGISLATION RESEARCH,1226-3664,2733-4724,사회과학,법학,한국어,등재,199112,연2회
사단법인 법조협회,KOREAN LAWYERS ASSOCIATION,,일반기관,법조,Korean Lawyers Association Journal,1598-4729,2671-8456,사회과학,법학,한국어,우수등재,194904,연6회
한국법철학회,Korean Association Of Legal Philosophy,,학회,법철학연구,Korean Journal of Legal Philosophy,1226-8445,,사회과학,법학,한국어,등재,1998,연3회
법학연구원,Law Research Institute,경북대학교,대학부설연구소,법학논고,KYUNGPOOK NATIONAL UNIVERSITY LAW JOURNAL,1738-5903,2733-9912,사회과학,법학,한국어,등재,198512,연4회
법학연구소,Ewha Legal Science Institute,이화여자대학교,대학부설연구소,법학논집,,1226-2005,,사회과학,법학,한국어,등재,199606,연4회
법학연구원,The Legal Studies Institute of Chosun Universiry,조선대학교,대학부설연구소,법학논총,The Legal Studies Institute of Chosun University,1738-1363,2671-6690,사회과학,법학,한국어,등재,199503,연3회
법학연구소,Institute for legal study ,단국대학교,대학부설연구소,법학논총,Dankook Law Riview,1738-3242,,사회과학,법학,한국어,등재,195810,연4회
법학연구소,Legal Research Institute Kookmin University,국민대학교,대학부설연구소,법학논총,KOOKMIN LAW REVIEW,1225-9969,,사회과학,법학,한국어,등재,198902,연3회
법학연구소,Legal Research Institute of Chonnam National University,전남대학교,대학부설연구소,법학논총,,1738-6233,,사회과학,법학,한국어,등재,199112,연4회
법학연구소,SOONG SIL UNIVERSITY INSTITUTE FOR THE LEGAL STUDIES,숭실대학교,대학부설연구소,법학논총,,1975-0005,2671-7557,사회과학,법학,한국어,등재,198405,연3회
법학연구소,The Institute for Legal Studies,한양대학교,대학부설연구소,법학논총,,1225-228X,2713-6140,사회과학,법학,한국어,등재,198402,연4회
법학연구원,"Institute of Legal Studies, Yonsei University",연세대학교,대학부설연구소,법학연구,,1226-8879,,사회과학,법학,한국어,등재,197312,연4회
한국법학회,Korean Law Association,,학회,법학연구,Law Review,1229-3113,,사회과학,법학,한국어,등재,199802,연4회
부설법학연구소,LEGAL RESEARCH INSTITUTE CHONBUK NATIONAL UNIVERSITY,전북대학교,대학부설연구소,법학연구,CHONBUK LAW REVIEW,1598-8937,,사회과학,법학,한국어,등재,197304,연3회
법학연구소,"Law Research Institute, Chungbuk National University",충북대학교,대학부설연구소,법학연구,,1225-2832,2671-5988,사회과학,법학,한국어,등재,198912,연2회
법학연구소,Chungnam National University Law Research Institute,충남대학교,대학부설연구소,법학연구,Journal of Law,1229-2699,2671-8553,사회과학,법학,한국어,등재,199012,연4회
법학연구소,"The Institute for Legal Studies, INHA UNIVERSITY",인하대학교,대학부설연구소,법학연구,InHa Law Review,1229-6910,2765-5474,사회과학,법학,한국어,등재,199912,연4회
법학연구소,Institute of Law Studies PUSAN NATIONAL UNIVERSITY,부산대학교,대학부설연구소,법학연구,,1225-2689,2671-6216,사회과학,법학,한국어,등재,195605,연4회
법학연구소,Law Research Institute ,경상국립대학교,대학부설연구소,법학연구,The Journal of Legal Studies,1975-2784,,사회과학,법학,한국어,등재,198807,연4회
서울지방변호사회,Seoul Bar Association,,일반기관,변호사,Seoul Bar Association Law Journal,1975-4493,,사회과학,법학,한국어,등재후보,1969,연1회
(사)한국보험법학회,Korean Insurance Law Association,,학회,보험법연구,Korea Insurance Law Journal,1598-8627,,사회과학,법학,한국어,등재,2007,연3회
한국보호관찰학회,Korean Association of Probation and Parole Services,,학회,보호관찰,Korean Journal of Probation,1598-7558,,사회과학,법학,한국어,등재,2001,연2회
